GEO_ID,zip_code,median_age,sex_ratio,age_dependency_ratio,undergraduate_students,employment_population_ratio,total_workers,workers_not_from_home,commute_vehicles,median_household_value
860Z200US90621,90621,35.9,104.2,55.5,2638,65.5,17877,16894,14990,643200
860Z200US90623,90623,44.2,88.9,64.2,1139,57.3,7260,6572,5895,739200
860Z200US90630,90630,41.2,93.4,64.3,3155,60.9,23953,20885,18860,700100
860Z200US90631,90631,37.7,103.1,59.2,4663,64.2,34730,32195,28040,628900
860Z200US90638,90638,43.2,98.1,65.6,3489,60.4,22970,20714,18585,630100
860Z200US90639,90639,19.9,61.9,1.8,2061,39.7,803,675,190,-
860Z200US90640,90640,37.4,97.5,61.6,4260,60.7,29782,27917,23290,558600
860Z200US90650,90650,35.5,103.8,58.5,7557,58.5,47132,45253,39525,487800
860Z200US90660,90660,39,94.8,58.3,4404,58.9,29538,27840,24885,490300
860Z200US90670,90670,38.1,88.8,57.8,1016,59.4,8109,7437,6775,492100
860Z200US90680,90680,36.6,94.9,59.5,2010,59.9,13806,13027,11130,472800
860Z200US90701,90701,38.4,88.8,59.1,1077,55.2,6971,6249,5085,635000
860Z200US90703,90703,45.7,100.9,78.1,3437,55,22271,19520,17635,762700
860Z200US90704,90704,45.2,110.8,64.1,170,72.3,2171,2108,870,863800
860Z200US90706,90706,34.7,95,55,6015,62.8,37753,35320,31305,535300
860Z200US90710,90710,39.2,88.9,63.3,1835,58.3,12587,11913,10505,523400
860Z200US90712,90712,37.6,95,57.1,2401,64.2,15722,14527,13220,622800
860Z200US90713,90713,39.9,101,52.6,1963,63.8,14829,13552,12485,638600
860Z200US90715,90715,37.2,86.9,48.8,1498,63.3,10732,9832,8420,555400
860Z200US90716,90716,32.2,99.5,62.9,845,60.1,6260,5852,5000,442000
860Z200US90717,90717,39.5,92.1,62.4,1471,64,10937,9742,8340,649400
860Z200US90720,90720,44,96.4,73.1,1457,58.6,10799,9349,8500,1004200
860Z200US90723,90723,31.6,101.4,57,3829,61.3,24412,23251,20080,411900
860Z200US90731,90731,37.6,97.7,54.4,3694,59.9,29242,26935,23265,657700
860Z200US90732,90732,48.1,90.3,69,1148,56.2,10208,8943,8240,657400
860Z200US90740,90740,59.4,80.6,124.1,834,43.4,9485,7919,7135,442000
860Z200US90742,90742,57.5,91.8,52.1,15,72.9,318,265,265,1140400
860Z200US90743,90743,55.6,114.5,56.1,50,50.7,222,161,115,"2,000,000+"
860Z200US90744,90744,31.6,110.4,63.5,3433,58.9,23883,22938,19645,471000
860Z200US90745,90745,39.5,97.8,56.8,4798,58.2,27211,25684,22575,516000
860Z200US90746,90746,44.4,94.7,66.5,1537,55.2,12476,11395,10525,585600
860Z200US90747,90747,19.2,20.7,-,27,22.9,8,8,-,-
860Z200US90755,90755,36,96.7,46.1,901,64.2,6069,5448,4975,553100
860Z200US90802,90802,35.8,110.4,28.1,2734,69.4,23539,19840,16175,460300
860Z200US90803,90803,45.8,102.5,45.4,1709,66.4,19380,16516,14665,943000
860Z200US90804,90804,33.4,98.4,37.8,4002,66.9,20527,18932,15375,541000
860Z200US90805,90805,32.7,90.6,56.7,6716,58.6,42289,39900,33975,469100
860Z200US90806,90806,34.1,102.9,52.6,2903,58,18387,16805,14225,568400
860Z200US90807,90807,43.3,93.8,55.4,2436,63.9,17218,14416,12520,661100
860Z200US90808,90808,43.2,96.5,70.4,1690,62.3,19401,16701,15325,708300
860Z200US90810,90810,35.3,95,53.7,3037,58.1,16756,15752,12885,464500
860Z200US90813,90813,30.6,100,54.6,4040,59.1,23929,22560,16850,430500
860Z200US90814,90814,37.3,88.8,38.8,923,74,11833,10147,9130,738900
860Z200US90815,90815,36.5,94.6,49.9,5601,58.5,20174,17421,15515,701600
860Z200US90822,90822,73,485,200,0,0,0,0,-,-
860Z200US90831,90831,-,-,-,0,-,0,0,-,-
860Z200US90840,90840,-,-,-,0,-,0,0,-,-
860Z200US91001,91001,44.6,89.5,65.9,1791,59.2,17586,14987,12915,887100
860Z200US91006,91006,43,95.5,71.1,1928,58.4,14680,12581,11280,1074000
860Z200US91007,91007,43.7,94.6,70.4,2209,54.1,14556,12432,10685,1056600
860Z200US91008,91008,52.5,91.1,53,45,49.3,312,281,260,1414100
860Z200US91010,91010,41.4,92.9,56.3,1640,58.5,12757,11771,10115,560900
860Z200US91011,91011,44.6,96.9,84.6,579,54.9,8572,6934,6325,1671000
860Z200US91016,91016,39.6,97.2,54.7,2052,62.8,20825,18485,16240,707400
860Z200US91020,91020,42,87.7,67.9,350,60.2,3601,3243,3055,719600
860Z200US91024,91024,48.3,84.4,59.7,245,64,5936,4766,4260,1048300
860Z200US91030,91030,40.4,100.3,56.3,1287,68.2,14339,11850,10095,1174400
860Z200US91040,91040,45.1,101.4,57.2,1035,59.5,10326,9151,8310,638100
860Z200US91042,91042,44.9,93.8,55.6,2158,55.6,12335,11299,9780,617400
860Z200US91046,91046,78.2,128.2,-,0,7.7,15,15,null,-
860Z200US91101,91101,36.7,91.7,35.4,924,68.4,11665,9776,6975,615200
860Z200US91103,91103,38.5,87.2,62,1604,57.4,12308,11032,9125,780200
860Z200US91104,91104,40.2,91,57.3,1872,61.6,18223,15400,12750,836500
860Z200US91105,91105,44.9,102.1,71.9,642,57.7,6119,4629,3835,1306200
860Z200US91106,91106,36,108.2,38.3,1511,67.7,13569,10964,8165,811200
860Z200US91107,91107,42.6,102.7,60.7,1619,64.3,17364,14387,12300,913700
860Z200US91108,91108,45.9,104.1,76.9,473,55.8,5511,4394,3780,"2,000,000+"
860Z200US91125,91125,20,64.9,2,893,30.7,281,257,35,-
860Z200US91201,91201,41.1,84.3,54.6,1814,58.4,10717,9234,8055,916000
860Z200US91202,91202,44.3,87.5,57.2,1448,56.1,10896,9111,8085,876700
860Z200US91203,91203,37,94,44.7,1009,60.2,8391,7418,6445,592600
860Z200US91204,91204,36.8,92.2,43.1,1239,56.6,8841,7822,6525,561800
860Z200US91205,91205,40.1,89.6,59.5,2470,54.2,16339,14354,11570,677200
860Z200US91206,91206,42.7,88.3,58.6,2062,56,15133,13270,11750,910500
860Z200US91207,91207,43.1,102.9,61,688,57.8,5461,4827,4390,1092700
860Z200US91208,91208,48.3,95.1,57.4,799,58.9,7359,6387,5915,1054700
860Z200US91210,91210,42.6,159.6,23.9,10,68,124,94,null,-
860Z200US91214,91214,41.5,94.7,68.2,1904,63.4,15535,13106,11750,851700
860Z200US91301,91301,44.6,104.2,61.1,1400,62.1,12418,9537,8910,871000
860Z200US91302,91302,44.5,96.2,66.9,1186,55.9,11478,9119,8495,1341400
860Z200US91303,91303,32.3,100,42,2240,68.2,15978,14714,11595,536400
860Z200US91304,91304,40,96.9,56.1,3528,62.8,27666,24384,20320,677700
860Z200US91306,91306,37.3,96.8,53.1,3794,63.3,24394,22337,18835,592400
860Z200US91307,91307,44.4,96.9,63.6,1718,58.1,11735,9541,8695,714600
860Z200US91311,91311,41.6,93,60.8,2506,61.6,20539,18439,16120,679000
860Z200US91316,91316,44.3,86.3,64.3,1309,60.4,13502,11149,9955,724500
860Z200US91320,91320,42.7,97.2,71.8,2581,63.5,21406,17690,16470,755800
860Z200US91321,91321,33.9,91.7,67.4,2706,62.2,16424,14697,12575,513500
860Z200US91324,91324,38.3,118.2,50.9,2595,61.7,14860,13645,11820,680200
860Z200US91325,91325,37.9,91,47.4,4023,64,18408,16381,13690,720900
860Z200US91326,91326,45.2,98.4,66.1,1726,62.4,18038,15121,13795,846700
860Z200US91330,91330,19.7,69.4,2.8,2925,30.4,912,830,235,-
860Z200US91331,91331,34.3,100.5,58,6583,58.6,45360,42921,34895,487600
860Z200US91335,91335,37.5,97.2,55.2,5913,62.3,38323,35233,30000,580500
860Z200US91340,91340,35.4,101.4,58.4,2320,61.3,16492,15933,13425,515000
860Z200US91342,91342,36.5,96.9,56,6830,60.1,42393,39333,34495,520900
860Z200US91343,91343,35,97,59.5,4548,60.8,29829,27473,22495,608500
860Z200US91344,91344,42.4,96.5,61,3416,57.4,25378,22228,19615,690300
860Z200US91345,91345,39.2,94.7,56,1134,60.8,8829,8298,7340,558000
860Z200US91350,91350,35.9,100.3,62.9,2158,64.9,19793,17594,15765,605800
860Z200US91351,91351,36.8,103.5,56.7,2226,63.2,15953,14933,13465,471900
860Z200US91352,91352,36.6,98.8,51.4,3253,58.4,20896,19777,16570,584100
860Z200US91354,91354,38.7,99.9,58,2071,65.5,16544,13753,12185,648600
860Z200US91355,91355,40.7,104.3,57.2,2596,59.1,14454,12617,11440,600200
860Z200US91356,91356,44.1,102.8,64.2,1803,60.6,14602,12040,10695,1023000
860Z200US91360,91360,42.9,103.7,64.3,3917,57.2,20044,17153,15280,735100
860Z200US91361,91361,51.4,90.9,77.9,678,56.4,9196,7693,7245,1042900
860Z200US91362,91362,46.3,90.7,64.8,2567,60.3,17436,14560,13360,878300
860Z200US91364,91364,42.1,99.1,69.9,699,63.8,13273,10264,9635,949000
860Z200US91367,91367,40.2,97,54.4,2774,61.1,22447,18890,16525,786200
860Z200US91371,91371,-,-,-,0,-,0,0,-,-
860Z200US91377,91377,42.9,92.4,68.8,652,60.4,6377,5128,4900,823300
860Z200US91381,91381,40.1,91.7,57.5,1039,58.1,8704,7140,6590,851300
860Z200US91384,91384,35,155.6,42,1794,48.6,11069,10093,8860,579800
860Z200US91387,91387,35.5,99.2,60.9,2714,64.4,21504,19244,17220,599500
860Z200US91390,91390,44.2,97.5,60.3,1297,60.1,9296,7921,7150,647600
860Z200US91401,91401,36.5,98.8,50.1,2066,64.5,19933,17322,14555,798900
860Z200US91402,91402,34.7,102.1,54.8,4116,63.1,32876,30802,24385,483700
860Z200US91403,91403,39.1,98.3,46.7,917,71.5,15058,11371,10245,1129100
